claim_id,baseline,validator_mode,strictness,assumption_profile,seed,unsafe_commit_rate,prefix_soundness_violation_count,theorem_check_pass_rate,counterexample_hit_rate,trace_integrity_success_rate
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,11,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,23,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,37,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_on,101,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,37,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A2_off,101,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,strict,A3_off,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,11,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,23,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,37,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_on,101,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,37,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A2_off,101,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A3_off,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A3_off,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A3_off,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,moderate,A3_off,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_on,11,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_on,23,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_on,37,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_on,101,0.0,0,1.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_off,37,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A2_off,101,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A3_off,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A3_off,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A3_off,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SAGALLM-TX-ROLLBACK,semantic_and_typed,relaxed,A3_off,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_on,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_on,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_on,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_on,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_off,37,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A2_off,101,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A3_off,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A3_off,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A3_off,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,strict,A3_off,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_on,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_on,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_on,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_on,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_off,37,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A2_off,101,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A3_off,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A3_off,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A3_off,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,moderate,A3_off,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_on,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_on,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_on,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_on,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_off,37,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A2_off,101,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A3_off,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A3_off,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A3_off,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-SCHEMA-ONLY-VALIDATOR,schema_only,relaxed,A3_off,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_on,11,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_on,23,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_on,37,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_on,101,1.0,1,0.0,0.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_off,11,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_off,23,1.0,1,0.0,1.0,1.0
HM-TH-01,BL-TRUST-ONLY-GATE,trust_only,strict,A2_off,37,1.0,1,0.0,1.0,1.0
